,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
59,20.03.2017,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,
60,21.03.2017,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0
61,22.03.2017,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,
62,23.03.2017,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,
63,24.03.2017,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,
64,25.03.2017,,,,,,,,,,,,,,,,,,,,,,,
65,27.03.2017,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,
66,28.03.2017,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0
67,29.03.2017,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,
68,30.03.2017,,,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0
69,31.03.2017,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,
70,01.04.2017,,,,,,,,,,,,,,,,,,,,,,,
71,03.04.2017,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,
72,04.04.2017,1.0,,,,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0
73,05.04.2017,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,
74,06.04.2017,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,
75,07.04.2017,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0
76,08.04.2017,,,,,,,,,,,,,,,,,,,,,,,
77,10.04.2017,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,
78,11.04.2017,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,1.0
79,12.04.2017,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,
80,13.04.2017,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0
81,14.04.2017,,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,
82,15.04.2017,,,,,,,,,,,,,,,,,,,,,,,
83,17.04.2017,1.0,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,
84,18.04.2017,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,1.0,
85,19.04.2017,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0
86,20.04.2017,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0
87,21.04.2017,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,
88,22.04.2017,,,,,,,,,,,,,,,,,,,,,,,
89,24.04.2017,1.0,,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,1.0,
